state,date,state_new_cases_per_100000,state_new_deaths_per_100000
Virgin Islands,8/11/2020,,
Guam,8/11/2020,,
American Samoa,8/11/2020,,
Louisiana,8/10/2020,34.07434848,0.806257638
Georgia,8/10/2020,32.03581928,0.525555831
Mississippi,8/10/2020,31.20678513,0.961459812
Alabama,8/10/2020,30.27610882,0.479320576
Florida,8/10/2020,30.23368782,0.751197514
Tennessee,8/10/2020,28.01852793,0.297530685
Idaho,8/10/2020,27.96540824,0.317603646
Nevada,8/10/2020,27.17889731,0.54612023
Texas,8/10/2020,26.35818608,0.752564861
Arkansas,8/10/2020,25.74327119,0.379204878
South Carolina,8/10/2020,23.06337801,0.716515764
California,8/10/2020,20.72233368,0.373782073
Oklahoma,8/10/2020,19.42282016,0.195641166
Puerto Rico,8/10/2020,18.01836362,0.219081841
North Dakota,8/10/2020,17.44184189,0.150360706
Missouri,8/10/2020,16.66077341,0.144572142
Arizona,8/10/2020,15.98756309,0.746989304
Iowa,8/10/2020,14.75579499,0.226315874
Wisconsin,8/10/2020,14.08773407,0.120407984
Indiana,8/10/2020,14.00204845,0.136626178
North Carolina,8/10/2020,13.66437854,0.214623747
Illinois,8/10/2020,13.6532494,0.13791161
Kansas,8/10/2020,13.49815044,0.093226048
Utah,8/10/2020,12.92947516,0.140095676
Nebraska,8/10/2020,12.88423529,0.148094659
Virginia,8/10/2020,12.8187077,0.182812919
Minnesota,8/10/2020,12.61766912,0.114567214
Maryland,8/10/2020,12.0901129,0.160760203
Kentucky,8/10/2020,11.97615741,0.099108617
Hawaii,8/10/2020,11.96769286,0.080455078
Montana,8/10/2020,10.54311144,0.147926308
South Dakota,8/10/2020,10.41186791,0.178119047
District of Columbia,8/10/2020,10.0463985,0.101684195
Ohio,8/10/2020,9.493304178,0.163761941
Washington,8/10/2020,9.349916,0.183889264
Rhode Island,8/10/2020,9.295783592,0.067556567
New Mexico,8/10/2020,8.958278963,0.238614736
Delaware,8/10/2020,8.552188363,0.088623714
Alaska,8/10/2020,8.388114371,0.019372089
Colorado,8/10/2020,7.700228258,0.045147918
Oregon,8/10/2020,7.233682124,0.09885805
Michigan,8/10/2020,7.048593636,0.128052309
West Virginia,8/10/2020,6.162572946,0.189861041
Pennsylvania,8/10/2020,5.942035096,0.100391057
Wyoming,8/10/2020,5.827334352,0.02472702
Massachusetts,8/10/2020,5.501392185,0.192486634
New Jersey,8/10/2020,3.875904351,0.087930805
New York,8/10/2020,3.284465655,0.045323141
Connecticut,8/10/2020,2.019300918,0.02799031
New Hampshire,8/10/2020,1.895693469,0.021063261
Maine,8/10/2020,0.864569186,0.024905285
Vermont,8/10/2020,0.798340729,0.022809735
Northern Mariana Islands,8/10/2020,,
American Samoa,8/10/2020,,
Virgin Islands,8/10/2020,,
Guam,8/10/2020,,
Louisiana,8/9/2020,35.72058556,0.78479831
Georgia,8/9/2020,31.80359693,0.48753112
Mississippi,8/9/2020,31.66598982,0.923192755
Florida,8/9/2020,30.63410293,0.739124697
Idaho,8/9/2020,29.03223074,0.32574733
Alabama,8/9/2020,28.90536888,0.412098788
Nevada,8/9/2020,28.36529643,0.588491627
Tennessee,8/9/2020,27.61126962,0.316522006
Texas,8/9/2020,27.4661288,0.784419459
Arkansas,8/9/2020,26.41635985,0.379204878
South Carolina,8/9/2020,24.29690907,0.713705898
Oklahoma,8/9/2020,19.35036047,0.192018181
North Dakota,8/9/2020,17.59220259,0.131565618
California,8/9/2020,17.17989082,0.3542804
